"Competi","Country","Age","Stage","Composer","Associated Piece"
"Anton Mordasov","Russia","29","Semifinal Recital","Rachmaninoff","Sonata No.2 in B-flat Minor, Op.36 (1931)"
"Anton Mordasov","Russia","29","Semifinal Recital","Copland–Bernstein","El Salón México"
"Anton Mordasov","Russia","29","Chamber Music","Brahms","Piano Quintet in F Minor, Op.34"
"Anton Mordasov","Russia","Final Round            Beethoven               Piano Concerto No.2 in B-flat Major, Op.19","","",""
"Masaru Okada","Japan","26","Preliminary Round","Schubert","Sonata in A Minor, D.784"
"Masaru Okada","Japan","26","Preliminary Round","Schubert–Liszt","Erlkönig"
"Masaru Okada","Japan","26","Preliminary Round","Ravel","Gaspard de la nuit"
"Masaru Okada","Japan","26","Semifinal Recital","Bach","Partita No.6 in E Minor, BWV 830"
"Masaru Okada","Japan","26","Semifinal Recital","Beethoven","Sonata in E-flat Major, Op.7"
"Masaru Okada","Japan","26","Semifinal Recital","Judith Lang Zaimont","Impronta Digitale"
"Masaru Okada","Japan","26","Semifinal Recital","Liszt","Réminiscences de Don Juan"
"Masaru Okada","Japan","26","Chamber Music","Schumann","Piano Quintet in E-flat Major, Op.44"
"Masaru Okada","Japan","26","Final Round","Mozart","Piano Concerto No.20 in D Minor, K.466"
"Masaru Okada","Japan","26","Final Round","Rachmaninoff","Piano Concerto No.2 in C Minor, Op.18"
"Jong Hwa Park","Korea","26","Preliminary Round","Haydn","Sonata in D Major, Hob. XVI:42"
"Jong Hwa Park","Korea","26","Preliminary Round","Messiaen","FromVingt regards sur l'enfant Jésus: XI. Premier communion de la Vierge; X. Regard de l'esprit de joie"
"Jong Hwa Park","Korea","26","Preliminary Round","Liszt","Sonata in B Minor"
"Jong Hwa Park","Korea","26","Semifinal Recital","Soler","Sonata No.72 in the Dorian Mode; Sonata No.84 in D Major"
"Jong Hwa Park","Korea","26","Semifinal Recital","Beethoven","Sonata in B-flat Major, Op.106 (""Hammerklavier"")"
"Jong Hwa Park","Korea","26","Semifinal Recital","Judith Lang Zaimont","Impronta Digitale"
"Jong Hwa Park","Korea","26","Semifinal Recital","Stravinsky","Trois mouvements de Petrouchka"
"Jong Hwa Park","Korea","26","Chamber Music","Brahms","Piano Quintet in F Minor, Op.34"
"Jong Hwa Park","Korea","26","Final Round","Mozart","Piano Concerto No.24 in C Minor, K.491"
"Jong Hwa Park","Korea","26","Final Round","Rachmaninoff","Piano Concerto No.3 in D Minor, Op.30"
"Jong-Gyung Park","Korea","25","Preliminary Round","Haydn","Sonata in C Major, Hob. XVI:50"
"Jong-Gyung Park","Korea","25","Preliminary Round","Berg","Sonata, Op. 1"
"Jong-Gyung Park","Korea","25","Preliminary Round","Liszt","Venezia e Napoli"
"Jong-Gyung Park","Korea","25","Preliminary Round","Busoni","Sonatina No. 6 (""Carmen Fantasy"")"
"Jong-Gyung Park","Korea","25","Semifinal Recital","Beethoven","Sonata in E-flat Major, Op. 81a (""Les Adieux"")"
"Jong-Gyung Park","Korea","25","Semifinal Recital","Prokofiev","Sonata No. 6 in A Major, Op. 82"
"Jong-Gyung Park","Korea","25","Semifinal Recital","James Mobberley","Give ’em Hell!"
"Jong-Gyung Park","Korea","25","Semifinal Recital","Ravel","La Valse"
"Jong-Gyung Park","Korea","25","Chamber Music","Brahms","Piano Quintet in F Minor, Op.34"
"Jong-Gyung Park","Korea","25","Final Round","Mozart","Piano Concerto No.20 in D Minor, K.466"
"Jong-Gyung Park","Korea","25","Final Round","Chopin","Piano Concerto No.1 in E Minor, Op.11"
"Antonio Pompa-Baldi","Italy","26","Preliminary Round","Mozart","Sonata in F Major, K.332"
"Antonio Pompa-Baldi","Italy","26","Preliminary Round","Chopin","Sonata No.2 in B-flat Minor, Op.35"
"Antonio Pompa-Baldi","Italy","26","Preliminary Round","Scriabin","Sonata No.4 in F-sharp Major, Op.30"
"Antonio Pompa-Baldi","Italy","26","Preliminary Round","Prokofiev","Etude in D Minor, Op.2, No.1"
"Antonio Pompa-Baldi","Italy","26","Semifinal Recital","Debussy","Suite Bergamasque"
"Antonio Pompa-Baldi","Italy","26","Semifinal Recital","Lowell Liebermann","Three Impromptus"
